
GREETING_INTRODUCTION			;Somos los {0}.\n\nNos gusta la vida tranquila. Y un buen juego de Todash.\n\n¿Que tal vosotros?
GREETING_FRIENDLY			;Ahh, que bueno veros de nuevo!\n\n¿Os gustaría participar en nuestro juego de Todash?
GREETING_NEUTRAL			;¿Hmm? Oh, ¿tienes algo sobre que hablar?
GREETING_ANGRY				;Grrr, ¡te atreves a venir antes nosotros! Más vale que sea bueno.\n\n¡Habla!

PIRATE_PROTECTIONPROPOSE		;¿Protección para vuestras naves? sí, os la podemos suministrar.\n\nPor la tarifa mostrada abajo, podemos "proteger" la totalidad de vuestras naves mientras cruzan nuestro territorio. El período de protección es de seis meses.\n\n¿No os parece una ganga?
PIRATE_PROTECTIONPROPOSEINITIATE	;Hay muchos peligros ocultos acechando a vuestras naves - ¡piratas, por ejemplo!\n\nSin embargo por una modesta tarifa podemos proteger la totalidad de vuestras naves que viajen a través de nuestro territorio. La protección durará seis meses.\n\nUna oferta tentadora, ¿no estáis de acuerdo?
PIRATE_PROTECTIONACCEPTRESPONSE		;¡Excelente!\n\nPasaremos la orden a nuestras naves para que se detengan cuando vean alguno de vuestros vajeles.\n\nAdiós, hasta que se deba el proximo plazo...
PIRATE_PROTECTIONREJECTRESPONSE		;Nos preguntabamos si estáis buscando problemas.\n\nTal vez lo estéis...
PIRATE_ATTACKOFFER_SINGLEEMPIRE		;Parece ser que tenéis dificultades con los {0}. Sin embargo, eso no tiene por qué ser un problema para vosotros - ¡podemos atacarlos por vosotros!\n\nEste acuerdo sería un secreto sólo entre nosotros. No tendríais ninguna culpa por los ataques.\n\nTodo lo que necesitamos es un pago de {1} créditos
PIRATE_ATTACKCOMMENCE			;¡Nos acabáis de contratar!\n\n¡Los {0} nunca sabrán quien les golpeó!

OFFER_FREETRADE				;Sabéis una cosa: lo que necesitamos es un Tratado de Libre Comercio. Realmente sería una gran cosa.\n\n¿Qué piensas?
FREETRADE_ACCEPT			;Un Tratado de Libre Comercio, ¡ hoy día es una gran idea! Aceptamos.\n\n¡Ya podemos pensar las formas en que vamos a gastar todo ese dinero extra!
FREETRADE_REJECT			;Bueno, en realidad no. No creemos que un Tratado de Libre Comercio fuera una buena idea.\n\nNo con vosotros de todos modos

CANCELTREATY				;Ese {0} que tuvimos con vosotros? Está acabado: terminado, finiquitado, kaput.\n\nSimplemente no funcionó
CANCELTREATY_RESPONSE_FRIENDLY		;¡Bueno, maldita sea!\n\Creíamos que teníamos algo bueno en él. Nunca se puede asegurar, supongo
CANCELTREATY_RESPONSE_NEUTRAL		;Si vosotros lo decís
CANCELTREATY_RESPONSE_ANGRY		;¿Ah, sí?! Bueno, de todos modos, nunca nos gustasteis.\n\nQue así sea

TREATY_PROPOSAL				;¡¿Un tratado?! ¡Amamos los tratados!\n\nCuéntanos más
